question,answers
how can pest and diseases be managed in maize plants? ,"use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection"
when is the ideal time to harvest maize?,"Harvesting is typically done when the kernels are fully developed and hard, and the husks have dried up and turned brown"
how are plants harvested?,by hand or machine
what is the process of field drying and threshing maize?,Post-harvest management
how is maize  stored after harvesting?,use of hermetic storage bags or containers 
what are the ideal storage conditions for maize to prevent mold growth and insect infestation?,temperatures between 10-15�C
which district in uganda was apple first introduced?,Kabale District
which other regions in uganda grow apples?,"Bugisu, Bukedi and
Sebei sub regions in areas around Mt. Elgon"
what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market"
"what is the fall armyworm, and why is it a concern for farmers in uganda?","The fall armyworm, in particular, is a major concern for farmers as it is highly invasive, can reproduce quickly, and can cause significant crop losses"
when was the fall armyworm first detected in uganda?,2016
which crops are most susceptible to armyworm infestation in uganda?,"maize, sorghum, millet, and rice"
what are the potential crop losses due to armyworm infestation?," Its infestation can lead to yield losses of up to 50% and, in some cases, total crop failure"
"how is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely"
what are some of the methods that farmers in uganda use to control armyworms?,"early detection, biological control, chemical control, crop rotation, and cultural control"
when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity"
what type of fertilizers can be applied for maize?,"DAP, NPK, and CAN"
testing cassava?,There are various tests that can be done on cassava like testing for viruses.
how long does beans take  from planting to harvesting season?,75 days to 90 depending on the variety
any maize market out there?,There are several markets available but all depends on where you are based.Where are you based
"in growing irish potatoes,row planting and use of holes, which one conserves fertilizers?",Row planting
where do i submit my answer?,Right here
what are the effects of reliable rain fall,"improved crop yields, better soil health, enhanced biodiversity, reduced risk of drought, and improved water quality."
when can calcium ammonium nitrate (can) be applied in maize?,After 2-3 weeks or when the crop is about 45cm high
"any maize markets out there?
",Nakasero Market
which key districts produces maize in uganda?,"Masindi, Kapchorwa, Kasese, Jinja, Kabarole and Mbale"
is maize growth affected by altitude?,The expert will reachout to help
what is seed dormancy,Seed dormancy is the condition in which a seed fails to germinate even under conditions that are normally favorable for germination
what is the best season for beans?,"beans prefer warm weather, plant at least a week after the last spring frost"
what the required soil ph for beans, between 6.0 and 7.0
name two types of beans found in the garden,bush beans and pole beans
"what type of soil is beans doing well
",well-draining loamy soil
name factors that causes seed dormancy," mechanical barriers, chemical inhibitors, immature embryos, scarification requirements, and environmental cues"
how can couch grass be effectively control from the cassava garden.,"Hand-pulling, mulching, herbicides, and tillage"
what is thiram,"Thiram is a fungicide that is used to control a variety of seed-borne and soil-borne fungal diseases, such as damping-off, seed rot, and seedling bligh"
which common chemical is used for seed dressing,Phenylmercuric acetate
what is soil fertility,Soil fertility is the ability of soil to sustain plant growth and optimize crop yield
which agricultural method can be used to improve on soil fertility,incorporating cover crops that add organic matter to the soil
what is the recommended spacing for cassava?,spacing of 1.0 m x 1.0 m (3 ft x 3 ft) is commonly used for cassava planting
what are the symptoms of cassava mosaic,"Leaves leaves become distorted and yellow, Poor formation of tubers, The plants is stumted, Mosaic mottling,mishapen and twisted leaflets and reduction in size of leaves"
what are the factors affecting response of crops to fertilizers,Soil type and properties
what causes cassava mosaic disease,"Cassava mosaic disease (CMD) is caused by several species of single-stranded DNA viruses in the genus Begomovirus, family Geminiviridae."
how do you control cassava mosaic disease,"planting disease-resistant varieties, using virus-free planting materials, and maintaining good field sanitation, as well as chemical control measures"
how can cassava mosaic disease spread ,Whitefly infestations
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
which natural water can fish grow in?,"ponds, lakes, rivers, and streams"
where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
how has farming changed in the united states?,"The growth of farming brought many laborsaving devices to 19th- and early 20th-century farm life, including reaping and threshing machines, which replaced work done by hand. Today, with modern methods of agriculture that include complex machinery, scientific breeding, and chemical pesticides, farms require far fewer workers."
how many farms were there in united states in 1935,6.8 million farms in the United States
which u.s. states are the biggest farm states?,California 
how does the combine harvester help farmers?,The combine harvester saves the farmers time and labor.
how was harvesting done before the evolution of machinery?,Gathering and removing mature plants from the field had to be done by hand
which farm tool was used by farmers to thresh or beat the dried wheat in order to separate its edible grain seeds from its stalks,flails 
what are combine harvesters?,"machines, which are loaded with technology, are very efficient and combine all three jobs of cutting, collecting, and threshing a crop"
who invented the earliest milking machines?,the ancient Egyptians
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
what is a seed drill?,a device that allowed farmers to plant seeds in the soil and then cover them up
how did seed drill helped farmres,allowed farmers to sow seeds in well-spaced rows at specific depths at a specific rate
what are windmills used for?,to generate power and grind wheat since ancient times
what is the use of wind mill.,"to saw wood and make typical household items, such as oil, paper, spices, chalk, and pottery."
which people used small windmills to generate electricity in rural areas,Americans 
what are barns used for?,to store modern farm machinery and house farm animals
why are crops sprayed with pesticides?,"to protect crops from insect pests, weeds, and fungal diseases while they are growing"
what are other reasons  why crops are sprayed,"to prevent rats, mice, and insects from contaminating foods while they are being stored"
what is a silo?,"silos are used to store silage, which is animal feed"
what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
"which crop is the crop most often used for silage.
",corn 
does organic farming contribute to less pollution?,Yes
organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
why do farmers to use chemicals,"to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs"
what is the basic principle of organic farming,keeping the soil rich with nutrients by feeding it natural fertilizers such as cow manure
how do farmers control insects?,prevent insect damage by putting up insect traps or by bringing in beneficial insects that feed on the harmful ones that are causing a problem.
which countries in united states has fish farms,"California, Idaho, Alabama, Arkansas, Louisiana, Mississippi, and along the southeastern U.S. coast"
which two countries contribute to 80 percentage of the sea food, Asia and Latin America
why do cows stand around in fields eating all day?, to produce four or more gallons of milk
a large diary cows can eat up of?,150 pounds
how many chambers does a cow has,four chambers
give other examples of ruminats,"Goats, sheep, camels, and antelope "
what is the use of cow's special stomach,to store food for later chewing and digestion once they were hidden and out of danger
why do horses sleep standing up?,"Their legs can lock in place, enabling them to fall asleep without falling over. Because they are prey animals, horses often do not feel comfortable sleeping on the ground, and most of their sleeping is done during the day rather than at night when predators are out hunting. Horses have straight backs, so they cannot get up quickly."
how can cows make so much milk?,If its calf nurses regularl
why are pigs so dirty?,"Because pigs will eat almost anything, they have traditionally been fed farm leftovers and waste."
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world"
what is consumptive water use?,is the term that describes water used and not returned to the original source. 
farmers are focused on conserving water for several reasons,1) Farmers know water wasted could mean a lack of the resource for future crops. 2) Water is expensive. Water wasted is money lost. 3) Farmers are cultivators. They use precise technology to know exactly how much water a plant needs to grow. Too much could mean poor production. 4) Many farmers rely on Mother Nature for water.
do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
which year did methane emission decline to 35%,1975
can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
"is buying organic food better for the environment than buying food
produced conventionally?
","Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
how does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what is rotenone?,Rotenone is a plant extract found in some species within the pea family
which pesticides causes liver disease?,Copper sulfate 
which body oversees organic certification>,USDA National Organic Program (NOP)
"which synthetic substances allowed in organic production.
",Chlorine and hydrogen peroxide
what is fda,Food and Drug Administration
how do you call the young ones of a horse,foal
name one breed of a horse,ponies
what are ponnies?,"Ponies are small breeds of horses that, because of their size, appear much smaller when fully grown than larger breeds of horses"
a mature horse shorter than 14 hands is considered?,pony 
how is the height of a horse measured?,A horse�s height is measured in hands from the ground to the withers (the area on top of a horse between its neck and back)
what does a hand represents in a horse?, 4 inches
why has food and drug administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
how do ranchers administer antibiotics?,according to the instructions on the label and under the direction of a veterinarian
why do ranchers do not like to use antibiotics?,"because antibiotics are expensive, and they take time to administer"
is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
what is the use of vitamin b6?,B6 is related to metabolism and immune function as well as brain development during pregnancy
which vitamins helps blood cell and dna development,B12 
do plants have naturally occurring b12?,no 
what is animal welfare?,refers to the conditions in which an animal is raised
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
list the animal care principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
why should we have more livestock on the grazzing ground?,their movement and their waste and their relentless chomping stimulate grasses to grow
what are other merits of increasing the density of cattles on the grazing land?," restores the environment, it protects against climate change"
do brown cows produce chocolate milk?,No
list the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
how many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
are beef animals consuming grain that could be used to feed humans?,lifetime 
what important role does agriculture play?,feeding the growing population.
"could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
what is high fructose corn syrup,is a common sweetener in sodas and drinks
what median age of farmers in the us,57.5 years
what is the importance of agriculture.," It creates jobs, helps our economy and provides our basic necessities"
is agriculture a necessary industry?,Agriculture is a necessity!
can i eat healthy without spending a lot of money?,es. Food in the United States is very affordable
where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
what is food supply continuum,The process of getting food from the farm to the table
what are the three phases of  food supply continuum,"pre?harvest, harvest and postharvest"
"during  food supply continuum, what processes are included inside pre-harvest phase.","the producer or farmer, transportation of the product, and marketing of the product"
what processes are involved during harvest phase of  food supply continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
"during the final stage, what activities are done during  food supply continuum","retailing the product, distributing the product through the food service industry and, finally, reaching the consumer"
"is buying local and organic the same thing?
",No. Local is a definition based on location
what does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
what are genetically modified organisms (gmos)?,GMOs are defined as �organisms in which the genetic material (DNA) has been altered in a way that does not occur naturally.
what is plant biotechnology,a set of techniques used to adapt plants for specific needs or opportunities
"the product of consistent modification by scientists are called?
",GMOs 
"are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what percentage did vitamin c in fresh broccoli dropped?, 50% within one week
"if it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
is global hunger caused by a shortage of food?,"Not necessarily. In many cases, hunger is not caused by a shortage of food"
what causes hunger?,poverty
what is gene editing? how is it different from genetic engineering?,Gene editing allows scientists to make changes to a specific target sequence of DNA within a gene. It modifies the gene in a precise and predictable manner
"what is the difference between cloning and genetic modification (gm)?
",Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful
can farmers save and replant gmo seeds?,"GMO seeds, like any others, can be saved and replanted"
are genetically modified organisms (gmos) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes"
can eating a genetically modified fruit or vegetable change a person’s genes?,Eating GMO products does not impact our genes. 
what kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location"
how is technology in agriculture changing?,Tractor technology is changing! Auto?steer and GPS (global positioning systems) help make farming more efficient. Tractor technology is also helping the environment. 
is the primary focus of the usda agricultural programs?,"7% of the total USDA budget. Rural development, research, food safety, marketing and regulatory, and departmental management accounts for 6% of the budget"
"what is rfid in full
",Radio frequency identification
what is rfid used for?,is a technology that has been used to identify and track livestock animals
which other field is rfid being used?,hay
"does the united states import more agricultural products than we export?
","Agriculture has a positive trade balance, which means we send out (export) more than we bring in (import)"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
which two countries are the largest trading partners of the u.s,China and Canada
do agricultural exports help the economy? ,"According to the USDA Economic Research Service, $140.5 billion worth of American agricultural products were exported around the globe in 2017"
does most of the money i pay for food go back to the farmer?,Not necessarily
does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
list inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
"if a farm is large, does that mean it is a corporate farm?","Just because a farm is large in number of acres, does not mean it is a corporate farm"
are we losing family farms because corporate farms are taking over american agriculture?,America�s farms are still family farms
is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security
what is soil science and management.,"Soil science and management is the scientific study of the physical, chemical, and biological properties of soil and the ways in which it can be managed for optimal crop production."
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
"what are some of the physical and chemical, properties of soil that soil scientists study?","texture, structure, acidity, and nutrient content."
what are some of biological properties of soil that soil scientists study?, microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.
what is soil?,"Soil is a complex mixture of minerals, organic matter, water, air, and living organisms."
list some of the soil management activites.,"soil testing, fertilization, irrigation, tillage, and crop rotation"
"what is the importance of soil management.
",it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield
why is fertilizer used in soil management?,to provide the necessary nutrients for optimal crop growth.
name two types fertilizers.,organic and inorganic fertilizers
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.
what is tillage?,the process of preparing the soil for planting by breaking up the soil and creating a suitable seedbed
excessive tillage can lead to ?,soil erosion and nutrient loss
why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss
what is crop rotation in soil management?,a technique used in soil management to reduce soil-borne diseases and pests and improve soil fertility
why is crop rotation important?, help to maintain soil health and improve crop yields over time
what is final stage in crop cultivation,Harvesting
what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport
which stage of crop cultivation involves placing seeds or seedlings into the soil at the right depth and spacing.,Planting 
name one crop planted by using a seed drill.,corn
why do crops require regular maintainance after planting,to ensure healthy growth and yield
name the activities of crop maintanance.,"weed and pest control, fertilization, and irrigation."
name the first step in crop cultivation,Land preparation
what are cover crops,are plants that are planted to cover the soil rather than for the purpose of being harvested
what is crop cultivation?," is the practice of growing crops for food, fiber, or fuel"
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
"give examples of macronutrients?
","nitrogen, phosphorus, and potassium,"
give examples of micronutrients.," iron, zinc, and manganese."
which nutrients are required for high yield in cassava.,"nitrogen, phosphorus, and potassium"
name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications."
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
what are some of the water conservation practices being done.,"reducing evaporation loss, controlling water runoff, and maintaining proper soil moisture levels"
how can i differentiate sprinkler irrigation from drip irrigation.,"Sprinkler irrigation involves spraying water over the field, while drip irrigation involves applying water directly to the root zone of the crop through a system of pipes and emitters"
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage"
why is crop cultivation a critical aspect of agriculture., plays a vital role in providing food security for the world's growing population.
name regions where irrigation is applicable.,regions with low rainfall or unreliable water sources
what is  irrigation.,the application of water to crops to supplement natural rainfall and ensure healthy plant growth
name activities done during water management.,"irrigation scheduling, water storage, and distribution systems"
poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
name the types of irrigation.,"flood, furrow, drip, and sprinkler irrigation"
the primary macronutrients are?," nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios"
which nutrient is essential for the production of chlorophyll.,Nitrogen 
what is the importance of chlorophyll.,is necessary for photosynthesis and plant growth.
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus 
"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",potassium 
what are organic fertilizers?," are derived from natural sources such as animal manure, compost, and plant residues"
what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield."
the deficiency of phosphorus results into?,"poor root development, slow growth, and reduced flowering and fruiting"
which symptoms are evident of micronutrient deficiencies,"leaf discoloration, reduced growth, and poor reproductive performance"
why do farmers plant cover crops?,"Cover crops manage soil erosion, soil fertility, soil quality, water, weeds, pests, diseases, biodiversity and wildlife in an agroecosystem"
why do we say cover crops are nurse crops?,"they increase the survival of the main crop being harvested, and are often grown over winter"
how doses cover crops reduce soil loss?,"by improving soil structure and increasing infiltration, protecting the soil surface, scattering raindrop energy and reducing the velocity of the movement of water over the soil surface"
what is pastoralism.,"involves managing domesticated animals. In nomadic pastoralism, herds of livestock are moved from place to place in search of pasture, fodder, and water"
how do we call the cover crops that increases soil fertility.,green manure
what are green manure used for?,to manage a range of soil macronutrients and micronutrients
which types of crops are used to retain and recycle soil nitrogen already present.,catch crops
how do we define a cover crop biomass.,"a physical barrier between rainfall and the soil surface, allowing raindrops to steadily trickle down through the soil profile"
name one crop that belongs to brassicaceae family,mustards
how does  brassicaceae family crops suppress fungal disease.,through the release of naturally occurring toxic chemicals during the degradation of glucosinolate compounds in their plant cell tissues
whats the botanical name of african armyworm,Spodoptera exempta
which family does the african armyworm belongs to.,Noctuidae
how did the name armyworm starts.,"The larvae often exhibit marching behavior when traveling to feeding sites,"
name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria 
which phase in polyphenism in which the larvae raised in groups turns black.,gregaria
why are gregaria caterpillars considered very deleterious pests.,capable of destroying entire crops in a matter of weeks
name spodoptera exempta species that have chisel-like mandibels.," S. triturata, S. m. mauritia, S. m. acronyctoides, S. umbraculata, S. cilium, Spodoptera depravata [sv], and S. pecten"
which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, and South Africa"
which region in african has the armyworm,Sahara
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
how many eggs does a female african armyworm lays.,"about 1,000 eggs in her lifetime"
how many eggs does the female armyworm lays per night.,100�400
where do armyworms lay their eggs., clusters on the lower side of leaves
what is the size of the armyworms laid eggs.,Their eggs are relatively small at 0.5 mm in diameter
when do the eggs of armyworms turn black., prior to hatching
how many days does the eggs takes to hatch into larvae., two to five days
what causes the green coloration in solitaria larvae,This green coloration is due to both pigmentation and ingested plant material visible in the gut
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
how does clover cover crop enhanced songbird habitat.,"by providing cover and nesting sites, and an increased food source from higher arthropod populations"
when do adults emerge?,in 7 to 10 days
when do ad.ults emerge from pupa stage,in 7 to 10 days
how long does the adult live.,up to 14 days.
how can distinguish female from male,Females and males can be distinguished by the number of bristles on their frenulum
how many bristles do female armyworms have?,females have multiple
what happens to african armyworms first after emerging from pupation,hey allow their bodies to dry off and their wings to harden before climbing trees
how do the moths migrate?,"migration is based on winds brought by the Intertropical Convergence Zone, which move northwards or southwards depending on the season"
when do moths travel?,during the day
why is migration benefical to moths?,it allows the species to travel to a new location with fewer predators and less possibility of parasitism and infection
name two types of african armyworm outbreak.,primary and secondary
when do primary outbreaks occurs?,"occur with relatively inconspicuous, low-density populations that can survive without frequent rainfal"
when secondary outbreaks occur?, occur when the moths from the primary outbreak are carried downwind and the adults mate and lay eggs in same location due to wind patterns
what is food safety and inspection service (fsis) responsible.,"FSIS is �responsible for ensuring that the nation�s commercial supply of meat, poultry and egg products is safe, wholesome and correctly labeled and packaged"
what does  food and drug administration (fda) focuses on.,FDA focuses on both fresh and processed food products
what  is the role of center for disease control(cdc). ,"to prevent �illness, disability and death due to domestic and imported foodborne diseases"
give one example of  natural erosion caused by water.,Grand Canyon
how do farmers control soil erosion.,farmers use conservation practices like planting cover crops in the winter or using conservation tillage practices
