question,answers
how can soil organism helps in Carbon sequestration.,"Soil organisms, such as mycorrhizal fungi, can help to sequester carbon in the soil, helping to mitigate climate change"
which micronutrients are present in most common fertilizers.,"iron, manganese, and zinc"
what are symptoms of Cassava Brown Streak Disease.," brown streaks on the stem and root, as well as yellowing and distortion of the leaves"
what is Generation.,"he number of times or seasons a seed crop has been exposed to the natural crop
growing environment"
what is the other name of Couch grass.,Bermuda grass
How can i store beans safely?,"Clean and dry the beans: Remove any debris, dirt or broken beans. Then, spread them out on a clean, dry surface, like a tarp or a concrete floor, to dry. Make sure they are completely dry before storing them."
what does Eutrophication leads to?,"algal blooms and anoxia, leads to fish kills, loss of biodiversity, and renders water unfit for drinking and other industrial uses"
what is biological pest control., is a method of controlling pests such as insects and mites by using other organisms
how can improver storage cause shriveling and rotting o beans seed.,"Improper storage conditions, such as high humidity or inadequate airflow, can create a favorable environment for seed rotting and mold growth. Poorly ventilated storage containers can also lead to excessive moisture accumulation and seed deterioration.
"
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
where can we find cassava whitefly., warm and humid regions
which cassava variety was developed by the International Institute of Tropical Agriculture (IITA) and is popular in many African countries.,TME 419
How often can i sprinkle liquid manure?,"Generally, liquid manure can be applied every 2-4 weeks during the growing season for most crops. However, it is important to avoid over-application, which can lead to nutrient imbalances, water pollution, and plant damage."
How can cows make so much milk?,If its calf nurses regularl
What is Consumptive water use?,is the term that describes water used and not returned to the original source. 
How is maize streak disease transmitted.,"transmitted by an insect vector called the maize streak virus vector or ""leafhopper."" "
what is farmyard manure.,"Farmyard manure (FYM), also known as organic manure or compost, is a mixture of animal waste, plant residues, and other organic materials that have been decomposed by microorganisms"
how can sandy soil be improved.,"sandy soil can be improved by adding organic matter such as compost or manure, which can help to retain moisture and nutrients."
name one way bacterial blight can be spread.,"Contaminated planting material: The bacterium can be present in infected cassava stems, which can spread the disease to healthy plants when used as planting material."
how does farm yard manure (FYM) helps preserve moisture in the soil.,"FYM, being an organic matter, has the ability to improve soil structure and increase its water-holding capacity. It enhances the soil's ability to retain moisture and reduces water runoff or drainage, allowing the water to stay within the root zone of the plants for a longer time.
"
What spacing is recommended for cassava planting?,"The recommended spacing for cassava planting can vary depending on several factors, including the variety of cassava, soil fertility, and intended use of the crop. However, a common spacing for cassava is between 1 meter to 1.5 meters between rows and 0.8 meters to 1 meter between plants within a row."
which teso region districts are affected by drought.,"Amuria, Bukedea, Kaberamaido, Katakwi, Kumi, Ngora, Serere, and Soroti"
How can I protect guava trees from common pests and diseases?,"Protecting guava trees from common pests like fruit flies, mealybugs, scales, and aphids, as well as diseases such as anthracnose, powdery mildew, and bacterial wilt, entails adopting integrated pest management (IPM) strategies. These strategies combine cultural, biological, and chemical control measures to mitigate the impact of pests and diseases on guava trees effectively."
Are beef animals consuming grain that could be used to feed humans?,lifetime 
what is Cassava Anthracnose Disease (CAD) .,is a fungal disease that affects cassava plants.
name districts in the West Nile Region that are susceptible to drought.,"Adjumani, Arua, Koboko, Maracha, Moyo, Nebbi, Pakwach, and Yumbe"
Npk and dap winch one is good for planting maize?,"It is important to note that the choice of fertilizer and application rate may depend on the specific soil and environmental conditions, as well as the maize variety and intended use of the crop. It is recommended to conduct a soil test and consult with a local agricultural expert to determine the appropriate fertilizer and application rate for a specific situation."
"which fungal disease causes yellowing and browning of the leaves, with characteristic cigar-shaped lesions",Northern corn leaf blight
"I was told that for quickly germination of maize seeds, it needs first to be shocked in water before planting, is that true?","No, it is not necessary to shock maize seeds in water before planting for quicker germination. Maize seeds generally do not require pre-soaking before planting. They are capable of germinating under favorable soil conditions without any pre-treatment."
What is total seed population in an acre?,"he recommended plant population for maize varies, but a common range is around 20,000 to 40,000 plants per acre. This translates to seeding rates of approximately 25,000 to 50,000 seeds per acre, considering germination rates and seedling mortality."
How does FAO defines agricultural automation.,"FAO defines agricultural automation as the use of machinery and equipment in agricultural operations to improve their diagnosis, decision-making or performing, reducing the drudgery of agricultural work and/or improving the timeliness, and potentially the precision, of agricultural operations."
is Acholi Sub-region affected by drought?,"he Acholi sub-region, which comprises of the districts of Agago, Amuru, Gulu, Kitgum, Lamwo, Nwoya, and Pader, is another area affected by drought in Uganda. The region is located in the northern part of Uganda and is characterized by a semi-arid to sub-humid climate."
What are the problems facing farming organization in uganda?,"Limited access to finance: Many farming organizations in Uganda lack access to finance, which makes it difficult for them to invest in modern farming technologies, hire skilled workers, and expand their operations.

Limited access to markets: Many small-scale farmers in Uganda struggle to access markets to sell their products, which can result in low prices and limited income.

Climate change: Uganda is vulnerable to climate change, which can have a negative impact on crop yields and overall agricultural productivity.

Pest and disease outbreaks: Uganda has experienced several pest and disease outbreaks in recent years, such as the Fall Armyworm and Banana Bacterial Wilt, which can significantly reduce crop yields and income.

Limited access to extension services: Many farmers in Uganda lack access to extension services and technical assistance, which can limit their ability to adopt modern farming technologies and improve their farming practices.

Land tenure insecurity: Land tenure insecurity is a common challenge in Uganda, particularly for small-scale farmers, which can limit their ability to invest in their farms and access credit.

Poor infrastructure: Poor infrastructure, including inadequate roads, storage facilities, and irrigation systems, can limit the ability of farming organizations in Uganda to transport their products, store them properly, and irrigate their crops during dry spells."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
Which chemical is best for controlling insects which destroys beans leave.,"There are several chemicals that can be effective for controlling insects that damage bean leaves. The choice of chemical will depend on the specific pest species that are causing the damage. Here are some commonly used insecticides for controlling insect pests in beans:

Pyrethroids: These are synthetic insecticides that are effective against a wide range of insect pests, including aphids, thrips, and bean fly. Examples of pyrethroids that are commonly used for controlling bean pests include cypermethrin and deltamethrin."
A large diary cows can eat up of?,150 pounds
how is  shifting cultivation done?," a small area of forest is cleared by cutting and burning the trees. The cleared land is used for growing crops for a few years until the soil becomes too infertile, and the area is abandoned. Another patch of land is selected and the process is repeated"
Which common chemical is used for seed dressing,thiram
what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control"
Which two types of beans gives high yields...the climbing beans or the ordinary beans?,Both climbing beans and bush (ordinary) beans can give high yields if they are properly managed and grown under suitable conditions. 
what is the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows
what biological method can a farmer use to control cassava whitefly.,"introduction of natural enemies of the whitefly,"
name examples of phosphorous fertilizers,triple superphosphate and diammonium phosphate.
Commonly used nitrogen-rich fertilizers for top-dressing maize include?,urea and ammonium sulfate
How best can picks bags store maize grains for a long period of time?,"PICS (Purdue Improved Crop Storage) bags are specially designed storage bags that can help farmers store maize grains for a long period of time, up to 2-3 years, without using any chemicals"
what is fumigation.,"is the treatment of a structure to kill pests such as wood-boring beetles by sealing it or surrounding it with an airtight cover such as a tent, and fogging with liquid insecticide for an extended period, typically of 24�72 hours"
What is the effect of moisture on stored beans?,"Moisture is one of the key factors that affect the quality and shelf life of stored beans. Here are some of the effects of moisture on stored beans: Mold growth,Insect infestation,Sprouting,Hardening and discoloration,Nutrient loss."
which bean variety is tolerance to heavy rains.,"Robusta: Robusta beans are known for their good resistance to waterlogging and heavy rains. They have a relatively quick growth cycle and are suitable for areas with high rainfall.

Akunduny: Akunduny is a climbing bean variety that performs well in areas with heavy rainfall. It has good disease resistance and can withstand waterlogged conditions.

Katumani: Katumani is a bean variety that is popular in regions with heavy rainfall. It has good water tolerance and can withstand periods of excessive moisture."
can crop rotation help control root rot in cassava?,Crop rotation can help to break the cycle of disease and reduce the risk of infection.
Where else can we farmers get the beans seeds with iron content?,Check with research institutions: Agricultural research institutions often conduct research on crop varieties with higher iron content. You can check with local research institutions or universities to see if they have developed bean varieties with higher iron content and if those seeds are available for purchase.
name examples of Potassium-based fertilizers.," potassium sulfate or potassium chloride,"
what other measures can be used to control CAD?,Sanitation
How can couch grass be effectively controlled from the cassava garden.,Mulching
name other chemicals used for seed dressing.,"imidacloprid, clothianidin, and thiamethoxam, which are neonicotinoid insecticides."
how does Soil moisture and aeration affects soil nutrient intake.,"The amount of moisture and oxygen in the soil can affect the uptake of nutrients by crops, as well as the availability and activity of soil microorganisms that play a role in nutrient cycling. For example, waterlogged soils may lead to reduced nutrient uptake due to poor oxygen availability, while dry soils may lead to reduced nutrient availability due to reduced microbial activity."
what are organic fertilizers?,"organic fertilizers, which are made from natural materials such as manure and compost"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
"What is the difference between cloning and genetic modification (GM)?
",Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful
"what is RFID in full
",Radio frequency identification
What damage do sucking pest cause to plants like beans in the garden,"Sucking pests, such as aphids, whiteflies, and mites, can cause significant damage to plants like beans in the garden. These pests feed on the sap of the plant, which can weaken and stunt its growth. They also often transmit plant viruses, which can cause even more damage."
why do cassava propagated through stem cuttings matures faster compared to seed propagation.,This is because the stem cuttings already have a head start in development and can quickly establish roots and start growing.
define field capacity?,"This refers to the maximum amount of water the soil can hold after it has been thoroughly wetted and excess water has drained away. At field capacity, there is enough water in the soil for plants to use, but excess water has drained away, leaving air spaces in the soil."
what percentage does the production of animal food produce to Green House Emission.,57%
give examples of cover crops.,"beans, peas, clover)"
what median age of farmers in the US,57.5 years
what is the botanical name for Cassava green mite.,Mononychellus tanajoa
how long should you boil maize to retain protein nutrients.,"To retain the protein content, maize grains should be boiled for 30 to 45 minutes."
how can crop rotation be used to control cassava mosaic disease.,Planting cassava in the same field year after year can increase the risk of CMD. Crop rotation can help to break the cycle of disease and reduce the risk of infection.
in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
where area is  shifting cultivation done.,"This type of farming is practiced mainly in areas with abundant rainfall where the forest regenerates quickly. This practice is used in Northeast India, Southeast Asia, and the Amazon Basin."
What is maize and why is it important?,"Maize, also known as corn, is one of the most widely cultivated crops in the world, and is a staple food in many regions"
what are other merits of increasing the density of cattles on the grazing land?," restores the environment, it protects against climate change"
which maize disease survive well in warm and humid weather.,Gray leaf spot
What farming practice helps prevent soil erosion?,Crop Rotation
What bean variety fetch high price on market?,"Kidney beans (Phaseolus vulgaris): They are large, kidney-shaped beans with a smooth texture and a rich, meaty flavor. They are often used in chili, soups, and stews.

Black beans (Phaseolus vulgaris): These beans have a dense, creamy texture and a slightly sweet, earthy flavor. They are commonly used in Latin American and Caribbean cuisine.

Pinto beans (Phaseolus vulgaris): They are medium-sized beans with a speckled appearance and a creamy texture. Pinto beans are popular in Mexican and Southwestern cuisine.

Navy beans (Phaseolus vulgaris): These small, white beans have a mild flavor and a smooth texture. They are often used in baked beans and soups.

Cannellini beans (Phaseolus vulgaris): These Italian white beans have a creamy texture and a mild, nutty flavor. They are commonly used in Mediterranean dishes."
What maize variety is drought resistant?,DroughtGard: This is a genetically modified maize variety that has been engineered to be resistant to drought.
name the important categories of food crops.,"cereals, legumes, forage, fruits and vegetables"
What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
How does FAO defines agricultural automation.,"FAO defines agricultural automation as the use of machinery and equipment in agricultural operations to improve their diagnosis, decision-making or performing, reducing the drudgery of agricultural work and/or improving the timeliness, and potentially the precision, of agricultural operations."
name the components of nitrogen fertilizers.,"ammonium nitrate, urea, and ammonium sulphate"
can the quality of maize harvest early before its dried be reduced?,"Maize that is harvested before it is fully dried may have a lower quality, as the starch content may not be fully developed, leading to lower yields and poorer quality grain."
which cassava variety is recommended for karamoja region.,NASE 20
A mature horse shorter than 14 hands is considered?,pony 
what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons
which beneficial microorganisms are contained in microbial fertilizers.,bacteria and fungi
what are Soil microarthropods.,"These are small, soil-dwelling organisms such as mites and springtails that play important roles in soil nutrient cycling and decomposition."
"White flies have become resistant to pesticides, what else can farmers do eradicate them?","Integrated pest management (IPM): IPM is a holistic approach to pest management that involves a combination of techniques to control pests, including cultural, biological, and chemical methods. IPM can help to reduce the reliance on pesticides and prevent the development of pesticide resistance."
how can sun drying helps control pest in beans.,"Expose the beans to direct sunlight for a few days, as pests are generally sensitive to heat. Spread the beans in thin layers and turn them regularly to ensure thorough drying."
which other method is used to improve clay soil for maize production.,"Use cover crops: Growing cover crops, such as clover or rye, can help improve soil health and structure by adding organic matter, breaking up soil compaction, and reducing erosion. Cover crops can also help reduce weed pressure and increase soil moisture retention.
"
how long should the cassava stem be cut?,20-30 cm long
Does maize streak diseased affects the seeds	,"Maize streak disease (MSD) primarily affects the leaves of maize plants, causing streaking and yellowing symptoms. However, if the infection is severe and occurs early in the growing season, it can also affect the developing maize cobs and subsequently impact the quality of the seeds.
"
when do the eggs of armyworms turn black., prior to hatching
what causes the green coloration in Solitaria larvae,This green coloration is due to both pigmentation and ingested plant material visible in the gut
what is the best spacing for cassava.,a distance of 1-1.5 meters between rows and 0.75-1 meter between plants
how can farmyard manure improve soil structure.," FYM improves soil aggregation and creates pore spaces in the soil. This enhanced soil structure helps to create a sponge-like environment that can hold and store moisture for plant use. The organic matter in FYM also acts as a binding agent, preventing soil particles from compacting and reducing the risk of waterlogging."
why is forest  pests control difficult.,because it is not easy to access the canopy and monitor pest populations
what are the control measures for Cassava Anthracnose Disease:," use of disease-free planting material, crop rotation, and the application of fungicides."
what are nitrogen fertilizers?,"These fertilizers are designed to provide nitrogen, which is an essential nutrient for plant growth"
Is agriculture a necessary industry?,Agriculture is a necessity!
define genetic engineering.,This involves inserting genes from other organisms into maize plants to create new varieties with desirable traits such as resistance to pests or diseases.
"apart from suppressing weeds, what are other properties of allelopathic cover crops."," they can also break disease cycles and reduce populations of bacterial and fungal diseases, and parasitic nematodes"
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
why should farmers replace old seed during planting.,"using old seeds can result in poor germination rates, uneven plant growth, and reduced resistance to environmental stressors such as drought, pests, and diseases."
why should cassava be protected from direct sunlight.,exposure to sunlight can cause the tubers to become discolored and reduce their quality.
how can overuse of pesticides destroy soil nutrients?,"Pesticides can kill beneficial soil microorganisms and reduce soil biodiversity, which can lead to nutrient depletion and reduced soil fertility."
why do beans need to be intercropped with groundnuts and other legumes.,"roundnuts fix nitrogen in the soil, which can benefit the growth of other crops. Groundnuts can also provide a support structure for climbing beans."
what is strip cropping.,Planting different crops in alternating strips across the slope helps to reduce erosion by breaking up the flow of water. The alternating strips of different crops create barriers that trap sediment and prevent it from being washed away.
what other measures can be used to control CAD?,Sanitation
Can farmers save and replant GMO seeds?,"GMO seeds, like any others, can be saved and replanted"
which substance is applied in acidic soil to balance soil PH.,lime
how can farmers improve soil fertility of a clay soil.,"Improve drainage: Incorporate organic matter, such as compost or well-rotted manure, into the soil to improve its structure and drainage capacity.

Amend the soil: Add sand or other coarse materials to clay soil to improve its texture and increase its drainage ability.

Implement proper tillage practices: Avoid over-tilling or working the soil when it is too wet, as this can lead to compaction. Use appropriate tillage techniques to break up compacted soil layers and improve root penetration.

Apply organic matter: Regularly add organic matter, such as compost or cover crops, to the soil to enhance its fertility, structure, and water-holding capacity.

Practice crop rotation: Rotate maize with other crops that have different root structures and nutrient requirements to help break up compacted soil and reduce the risk of soil-borne diseases."
Are genetically modified organisms (GMOs) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes"
Why are pigs so dirty?,"Because pigs will eat almost anything, they have traditionally been fed farm leftovers and waste."
which region has adopted automatic milking system.,Northern Europe
How can a farmer control bean weevil in the store?,"Cleaning and hygiene: Before storing beans, ensure that the storage area is clean and free from debris and residues that may harbor pests. Thoroughly clean the storage containers or structures to remove any existing infestations.

Proper storage containers: Use airtight containers, such as metal or plastic bins with tight-fitting lids, to store beans. This helps prevent weevils from entering and infesting the beans. Avoid using jute bags or other porous materials that can allow pest entry.

Temperature control: Weevils thrive in warm temperatures. Keeping the storage area cool can help deter their growth and reproduction. Maintain a temperature below 15 degrees Celsius if possible.

Moisture control: Weevils require moisture to survive and reproduce. Ensure that the beans are properly dried before storage to reduce moisture content. Use moisture-absorbing substances like silica gel packets or dry ash in the storage containers to keep the environment dry.

Natural repellents: Some natural substances act as repellents to weevils. These include dried neem leaves, mint leaves, or tobacco leaves. Place small sachets of these repellents in the storage containers to deter weevils.

Freezing or heating: If feasible, beans can be subjected to extreme temperatures to eliminate weevils. Freezing the beans for a few days at temperatures below -18 degrees Celsius or heating them at temperatures above 60 degrees Celsius can kill the pests.

Regular monitoring: Regularly inspect the stored beans for signs of weevil infestation, such as holes in the beans or presence of adult weevils. If infestation is detected, separate and discard the infested beans to prevent further spread."
Do sapota trees require cross-pollination for fruit production?,"Most sapota varieties are self-pollinating, but cross-pollination by insects can increase fruit set and yield. However, in most cases, sapota trees can produce fruit without the need for cross-pollination."
name examples of Potassium-based fertilizers.," potassium sulfate or potassium chloride,"
name traditional methods that can be used to control pests in beans.,mixing wood ash or ash from cooking fires
"What is the difference between cloning and genetic modification (GM)?
",Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful
how can farmers prevent livestock diseases.,"implement measures such as regular vaccinations, quarantine of new animals, and good hygiene practices."
how do i check for corn maturity?,"test the kernel moisture content using a moisture meter. Additionally, the husks on the ears should have turned brown and dry"
which year was Apple farming introduced in Uganda?,1999
which maize variety was developed by the International Maize and Wheat Improvement Center (CIMMYT).,CML444
How do Crop Insurance Schemes (2022) protect farmers?,"Various crop insurance schemes are in place to protect farmers from financial losses due to crop failure, ensuring a safety net for their livelihoods."
what does the beetle feeds on?,"Both types of beetles feed on the leaves and stems of cassava plants, causing them to wilt, yellow and eventually die."
What characteristics should a good crop store have to prevent pest,"Good ventilation: Proper air circulation is crucial to prevent the buildup of moisture, which can attract pests like molds, mites, and insects. The store should have vents or fans to allow fresh air to enter and stale air to exit.

Dryness: Most pests prefer humid conditions, so a dry store is less attractive to them. The store should be free from leaks, and the walls and floor should be made of materials that do not absorb moisture.

Cleanliness: A clean store reduces the likelihood of pest infestation. Any spilled grain or produce should be promptly cleaned up, and the store should be regularly swept and sanitized.

Pest monitoring: Regular inspection of stored crops is essential to detect any signs of pest infestation early. Traps or baits can be used to monitor and control pests.

Pest control: If pests are detected, appropriate control measures should be taken immediately. This can include the use of insecticides, fumigation, or physical removal of infested crops.

Proper storage containers: Crops should be stored in appropriate containers, such as airtight containers, to prevent pests from entering. The containers should be made of materials that do not release harmful chemicals or odors that can affect the quality of the stored crops.

Proper storage location: The store should be located away from sources of pests, such as animal pens or garbage dumps. Additionally, the store should be located in an area that is accessible for regular monitoring and maintenance."
What damage do sucking pest cause to plants like beans in the garden,"Sucking pests, such as aphids, whiteflies, and mites, can cause significant damage to plants like beans in the garden. These pests feed on the sap of the plant, which can weaken and stunt its growth. They also often transmit plant viruses, which can cause even more damage."
What type of soil is beans doing well,"Beans generally do well in soil that is well-draining, fertile, and rich in organic matter. The ideal soil for beans is a sandy loam soil with a pH range of 6.0 to 7.0. The soil should also be free of pests and diseases that can damage the plants.
"
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
which pesticides causes liver disease?,Copper sulfate 
why cassava widely grown?,its ability to thrive in poor soils and withstand drought
do plants have naturally occurring B12?,no 
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
why do farmers don not like stake method of planting.,it requires more labor and resources to establish the nursery bed
how many chambers does a cow has,four chambers
what does excessive moisture causes.,root rot and other diseases
what can happen to maize that is harvested before it is fully dried.,"may not store well, as the moisture content is higher and the grain is more prone to spoilage and insect damage."
how can farmers deal with cassava dry out through water stress management.," Adequate irrigation, especially during dry periods, can help to prevent premature drying of cassava plants."
which year was Kawanda Composite A released.,1971
What are the symptoms of cassava mosaic,"Leaves leaves become distorted and yellow, Poor formation of tubers, The plants is stumted, Mosaic mottling,mishapen and twisted leaflets and reduction in size of leaves"
what kind of information is collected by tools used in precision agriculture?," soil moisture, nutrient levels, and other factors"
"which control method employs the use of beneficial insects like ladybugs or lacewings, or the release of whitefly-specific parasites or predators.",Biological contro
what is Crop rotation.,"The practice of growing a series of different types of crops in the same area in sequenced
seasons or years"
which genetical method are researchers are exploring to control whitefly., RNA interference (RNAi)
Does organic farming contribute to less pollution?,Yes
Which pests affects mostly beans?,Bean weevils
what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield."
At what spacing can cassava be intercropped with beans?,"Cassava and beans can be intercropped at a spacing of 75 cm between cassava rows and 50 cm between bean rows, with a spacing of 25-30 cm between bean plants within the rows"
what support structures do climbing beans require for their growth through to harvesting., poles or trellises
give two cultural crop protection practices.,crop rotation and intercropping.
How can i improve fertility of soil for proper production of maize without application of fertilizer,"Organic matter incorporation: Increase the organic matter content of the soil by incorporating organic materials such as compost, farmyard manure, cover crops, or crop residues. This improves soil structure, enhances nutrient retention, and promotes microbial activity.

Crop rotation and diversification: Rotate maize with leguminous crops (such as beans, peas, or clover) that fix nitrogen from the atmosphere and improve soil nitrogen levels. Crop rotation also helps break pest and disease cycles and promotes overall soil health.

Green manure cover crops: Plant cover crops like clover, vetch, or hairy vetch during fallow periods. These cover crops add organic matter, prevent soil erosion, and improve soil structure.

Mulching: Apply organic mulch, such as straw or crop residues, to the soil surface. Mulching helps conserve soil moisture, suppress weed growth, and slowly release nutrients into the soil as it decomposes."
What is the economic importance of Banana Bunchy Top virus?,"Banana Bunchy Top virus is economically important as it is covered by domestic quarantine regulations due to significant economic losses. Planting infected suckers results in 100% loss, estimated at Rs. 4 crores every year."
How can i store beans safely?,"Clean and dry the beans: Remove any debris, dirt or broken beans. Then, spread them out on a clean, dry surface, like a tarp or a concrete floor, to dry. Make sure they are completely dry before storing them."
why is Integrated Pest Management used?,"to minimize the use of pesticides and other chemicals, while still effectively controlling pests and diseases."
how can i differentiate sprinkler irrigation from drip irrigation.,"Sprinkler irrigation involves spraying water over the field, while drip irrigation involves applying water directly to the root zone of the crop through a system of pipes and emitters"
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
how is threshing done for bean crops?,manually or by using machines such as threshers or combines
which cassava variety is mainly grown in Thailand.,M Col 22
What damage do sucking pest cause to plants like beans in the garden,"Sucking pests, such as aphids, whiteflies, and mites, can cause significant damage to plants like beans in the garden. These pests feed on the sap of the plant, which can weaken and stunt its growth. They also often transmit plant viruses, which can cause even more damage."
What type of maize seed is resistant to pests and diseases?,Bt maize
how does farmers benefit from seed exchange programs.,Seed exchange programs allow farmers to share seeds with each other. Check with your local agricultural extension office or farmer network to see if there are any seed exchange programs in your area.
name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
"which fertilizer is often used as a basal or pre-planting fertilizer, and it can also be used as a top dressing fertilizer during the growing season.",NPK 
what is wilting point?,"This refers to the point at which the soil has lost so much water that plants begin to wilt and cannot recover their turgidity even when water is added. At this point, the soil is extremely dry, and the water is held tightly to the soil particles."
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
what is biological pest control., is a method of controlling pests such as insects and mites by using other organisms
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
why do cassava plants may shed their leaves during dry season.,"Water stress: Cassava plants have a deep root system that helps them access water from deeper soil layers. However, during prolonged dry periods, the availability of water may become limited, leading to water stress in the plants. As a survival mechanism, cassava plants shed their leaves to reduce water loss through transpiration and conserve moisture.

Nutrient deficiency: Inadequate nutrient availability, particularly nitrogen, can cause cassava plants to shed their leaves. During the dry season, nutrient uptake by the plants may be hampered, leading to nutrient deficiencies and subsequent leaf drop.

Pests and diseases: Dry conditions can increase the vulnerability of cassava plants to pests and diseases. Insect infestations, such as cassava green mites or cassava mealybugs, and diseases like cassava mosaic disease or cassava bacterial blight, can cause leaf damage and subsequent leaf shedding.

Natural plant response: In some cases, leaf shedding during the dry season may be a natural response of cassava plants to conserve energy and focus resources on survival. By shedding leaves, the plant can reduce its overall water and nutrient requirements and redirect resources to essential parts such as the stem and tuberous roots."
which variety is known for its high starch content and good processing qualities.,M Col 22
any other way soil nutrients can be lost?,Monoculture
how can conservation tillage helps improve soil fertility.,"Reducing the frequency and intensity of tillage can help to preserve soil structure, prevent erosion, and improve nutrient retention."
how can timing and method of fertilizer application improves soil fertility.,"The timing and method of fertilizer application, such as surface application, broadcasting, or placement, can influence nutrient availability and uptake by crops. For example, applying nitrogen fertilizer at planting may promote early crop growth and development, while side-dressing or top-dressing may promote later growth and fruiting."
what are Herbicide resistant seeds.," have a gene implanted into their genome that allows the plants to tolerate exposure to herbicides, including glyphosate"
name any mechanical scarification techniques that can be done.,"rubbing the seed coat with sandpaper, or by soaking the seed in hot water"
what are ponnies?,"Ponies are small breeds of horses that, because of their size, appear much smaller when fully grown than larger breeds of horses"
"which variety is grown in Colombia and is known for its high yield potential, disease resistance, and good processing qualities.",COCU 001
how else can you achieve pest control.,culling
how many bristles do female armyworms have?,females have multiple
